;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;12/05/2017;0,6419;DIVIDENDO;- ;1;BAHI3
1;23/04/2015;0,5000;DIVIDENDO;- ;1;BAHI3
2;30/04/2014;1,0000;DIVIDENDO;- ;1;BAHI3
3;28/03/2013;1,0000;DIVIDENDO;- ;1;BAHI3
4;10/04/2012;1,0000;DIVIDENDO;- ;1;BAHI3
5;25/10/2010;2,0000;DIVIDENDO;- ;1;BAHI3
6;21/05/2010;2,2233;DIVIDENDO;- ;1;BAHI3
7;02/09/2008;0,8250;DIVIDENDO;- ;1;BAHI3
8;10/03/2008;1,6500;DIVIDENDO;- ;1;BAHI3
9;07/08/2007;1,4820;DIVIDENDO;- ;1;BAHI3
10;28/02/2007;1,3680;DIVIDENDO;- ;1;BAHI3
11;15/09/2006;1,1400;DIVIDENDO;- ;1;BAHI3
12;07/03/2006;0,9500;DIVIDENDO;- ;1;BAHI3
13;23/02/2005;0,5333;DIVIDENDO;- ;1;BAHI3
14;23/03/2004;6,0000;DIVIDENDO;- ;1000;BAHI3
15;23/03/2004;5,0000;DIVIDENDO;- ;1000;BAHI3
16;23/03/2004;4,0000;DIVIDENDO;- ;1000;BAHI3
17;25/08/2003;4,6000;DIVIDENDO;- ;1000;BAHI3
18;25/08/2003;4,5000;DIVIDENDO;- ;1000;BAHI3
19;25/08/2003;4,4000;DIVIDENDO;- ;1000;BAHI3
20;28/01/2002;5,0000;REST CAP DIN;- ;1000;BAHI3
21;30/04/1999;0,9114;DIVIDENDO;- ;1000;BAHI3
22;30/04/1998;1,7736;DIVIDENDO;- ;1000;BAHI3
23;18/08/1997;1,4362;DIVIDENDO;- ;1000;BAHI3
24;19/03/1996;0,8000;DIVIDENDO;- ;1000;BAHI3
25;;;;;;BAHI3
26;2017;0,642;;;;BAHI3
27;2015;0,500;;;;BAHI3
28;2014;1,000;;;;BAHI3
29;2013;1,000;;;;BAHI3
30;2012;1,000;;;;BAHI3
31;2010;4,223;;;;BAHI3
