;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;0.00%;0.00%;30.67%;1.02%;0.00%;22.22%;0.00%;0.00%;0.00%;0.00%;3.31%;66.67%
2001;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-4.40%;0.00%;0.00%;2.51%;-2.00%
2002;-2.86%;0.00%;0.00%;0.00%;5.04%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;2.04%
2003;0.00%;0.00%;-7.60%;-0.43%;-4.35%;0.00%;0.00%;0.00%;0.00%;-4.55%;0.00%;0.00%;-16.00%
2004;-5.24%;-19.10%;18.01%;0.00%;0.00%;-10.53%;0.00%;20.59%;-9.76%;0.00%;7.03%;-11.62%;-16.67%
2005;11.43%;-7.18%;2.21%;-6.49%;0.00%;-4.62%;-3.03%;-5.00%;-1.32%;-6.67%;-14.29%;20.83%;-17.14%
2006;0.00%;6.90%;-16.13%;0.00%;-0.00%;-15.38%;9.09%;-30.83%;20.48%;-15.00%;23.53%;11.43%;-19.31%
2007;28.21%;-5.33%;-16.90%;3.39%;22.13%;6.04%;-11.39%;-7.14%;8.46%;-4.26%;-11.11%;-1.67%;0.85%
2008;-16.10%;-1.01%;-10.20%;1.14%;26.97%;-11.50%;-11.00%;-20.22%;-4.23%;-1.47%;-10.45%;0.00%;-49.15%
2009;0.00%;0.00%;0.00%;0.00%;-16.67%;-12.00%;2.27%;-0.00%;-2.22%;20.45%;-1.89%;-40.38%;-48.33%
2010;161.29%;39.51%;-24.78%;9.41%;-18.28%;78.95%;-41.88%;-8.86%;-4.17%;2.96%;-26.76%;25.00%;109.92%
2011;-1.54%;-4.69%;-4.92%;-15.52%;22.45%;-1.67%;69.49%;-10.00%;-12.15%;15.19%;16.48%;27.36%;107.85%
2012;-14.07%;6.90%;0.81%;-4.80%;-20.17%;-6.32%;-10.11%;-2.50%;-1.28%;-55.84%;-8.82%;-16.13%;-80.74%
2013;-11.54%;43.48%;-18.18%;-11.11%;8.33%;7.69%;-3.57%;11.11%;10.00%;-9.09%;-3.33%;-6.90%;3.85%
2014;14.81%;0.00%;-6.45%;0.00%;-17.24%;20.83%;-6.90%;3.70%;-7.14%;15.38%;0.00%;-13.33%;-3.70%
2015;-3.85%;0.00%;4.00%;-3.85%;0.00%;4.00%;-11.54%;-13.04%;-10.00%;-5.56%;-11.76%;20.00%;-30.77%
2016;5.56%;-10.53%;11.76%;2.63%;-1.28%;-0.78%;12.57%;4.65%;37.33%;20.06%;-5.66%;3.00%;100.28%
2017;10.96%;6.50%;14.79%;-6.44%;3.17%;-4.66%;-14.78%;17.08%;8.69%;-3.07%;-0.95%;-15.69%;9.57%
2018;-1.39%;-12.71%;30.74%;-19.01%;-15.97%;-21.16%;-1.47%;-6.38%;-18.41%;1.67%;-8.22%;-10.75%;-62.15%
2019;0.33%;-2.00%;-12.93%;-26.56%;1.06%;-3.16%;247.83%;-22.19%;2.41%;-3.14%;1.62%;1.99%;71.24%
2020;-2.34%;-23.00%;-35.58%;18.95%;-14.24%;20.16%;-10.20%;6.23%;-10.69%;-3.09%;13.55%;-1.05%;-44.92%
2021;10.28%;-8.36%;11.58%;29.25%;10.46%;18.28%;-13.59%;-21.12%;-7.10%;-16.18%;2.81%;-4.44%;-0.71%
2022;6.07%;-10.10%;4.87%;-1.07%;-12.64%;-9.09%;-9.09%;-5.00%;0.00%;-1.58%;-4.81%;-4.49%;-39.29%
2023;-7.06%;1.90%;0.62%;6.17%;12.79%;45.88%;2.83%;-25.43%;8.29%;-11.91%;1.45%;0.95%;24.71%
2024;1.89%;-7.41%;4.00%;-0.96%;43.20%;-13.22%;10.16%;8.16%;-2.62%;0.34%;-9.73%;0.00%;26.89%
2025;8.92%;-1.02%;-1.03%;-1.74%;5.67%;-0.00%;-2.68%;0.69%;0.00%;0.00%;0.00%;0.00%;8.55%
