;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2002;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-16.67%;50.00%;25.00%
2003;0.00%;20.00%;11.11%;0.00%;-0.00%;0.00%;-0.50%;0.50%;0.00%;0.00%;-0.50%;0.00%;32.67%
2004;-89.95%;895.00%;-26.13%;0.00%;-0.68%;-31.51%;10.00%;0.00%;7.27%;1.69%;0.00%;-25.00%;-54.77%
2005;11.11%;19.00%;0.00%;0.84%;0.00%;0.00%;0.00%;0.00%;-0.83%;0.00%;0.00%;0.00%;32.22%
2006;-8.40%;10.09%;-0.83%;0.00%;0.00%;0.00%;0.00%;0.84%;0.00%;0.00%;0.00%;0.00%;0.84%
2007;25.00%;193.33%;-41.14%;8.11%;10.71%;11.29%;-10.72%;-20.45%;-9.39%;-6.31%;-7.69%;4.17%;66.67%
2008;-10.00%;62.78%;-32.42%;-14.65%;-7.10%;-8.92%;-16.78%;-11.76%;-40.95%;-35.48%;2.50%;63.41%;-66.50%
2009;-0.00%;-20.90%;-13.21%;63.04%;-6.67%;-0.00%;-10.00%;3.17%;-7.69%;23.33%;-10.81%;0.00%;-1.49%
2010;21.21%;200.00%;-25.42%;-35.75%;-11.30%;12.75%;-6.96%;38.88%;2.70%;-21.05%;-0.00%;-8.33%;67.34%
2011;-4.55%;-4.76%;-12.00%;36.36%;-13.33%;3.85%;13.89%;4.07%;-16.41%;2.80%;-9.09%;-16.00%;-23.64%
2012;22.62%;-6.80%;-5.21%;6.59%;-19.59%;-21.79%;0.00%;-3.28%;11.86%;-13.64%;-5.26%;-14.81%;-45.24%
2013;-23.91%;71.43%;-0.00%;-15.00%;1.96%;-23.08%;7.50%;-4.65%;-2.44%;-10.00%;-8.33%;9.09%;-21.74%
2014;11.11%;-5.00%;-15.79%;0.00%;-6.25%;90.00%;-15.79%;14.58%;-9.09%;-14.00%;-2.33%;-9.52%;5.56%
2015;-13.16%;-6.06%;-6.45%;17.24%;11.76%;-21.05%;6.67%;-40.63%;5.26%;-5.00%;100.00%;21.05%;21.05%
2016;-4.35%;34.09%;0.00%;-15.25%;-0.00%;-4.00%;-7.29%;2.25%;-16.92%;-15.34%;9.37%;2.86%;-21.74%
2017;30.56%;-19.15%;-7.89%;-5.71%;9.09%;-16.67%;21.67%;1.37%;-13.51%;3.44%;9.06%;-5.82%;-5.56%
2018;-11.18%;-2.32%;0.00%;-1.69%;-14.14%;-13.65%;-6.98%;34.50%;-16.36%;15.56%;-4.23%;-3.61%;-29.41%
2019;0.00%;-8.33%;15.91%;29.41%;-3.94%;-8.52%;103.45%;-10.85%;0.76%;-7.74%;-4.91%;9.68%;112.50%
2020;12.75%;4.35%;-0.17%;3.49%;0.00%;22.55%;-3.56%;9.23%;-1.41%;-0.57%;-2.01%;8.21%;63.10%
2021;25.34%;-2.59%;5.99%;2.62%;-0.00%;18.37%;-16.38%;-7.73%;-8.27%;-12.91%;4.90%;0.67%;2.30%
2022;0.00%;-0.66%;4.67%;0.00%;0.00%;-25.48%;-2.56%;22.81%;-9.29%;-0.79%;-6.19%;-15.40%;-33.77%
2023;-0.40%;0.40%;6.00%;-1.32%;10.90%;3.45%;0.00%;-18.17%;1.83%;1.20%;-6.13%;-5.26%;-10.00%
2024;11.11%;12.00%;-16.07%;10.64%;3.85%;16.30%;0.16%;-26.87%;-13.04%;2.50%;6.59%;1.83%;-1.11%
2025;-0.45%;-6.32%;-6.02%;-1.28%;-9.09%;-20.00%;5.36%;-1.69%;0.00%;0.00%;0.00%;0.00%;-34.83%
