;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2006;0.00%;4.00%;-4.44%;-12.57%;-12.67%;-7.61%;2.06%;15.27%;1.75%;-2.01%;7.82%;16.51%;3.30%
2007;-5.39%;13.88%;-3.67%;0.38%;18.77%;-6.45%;0.90%;5.60%;0.91%;3.91%;-4.32%;-0.00%;23.75%
2008;-23.23%;8.19%;0.19%;7.75%;7.55%;-0.77%;-1.25%;-14.56%;-18.86%;-32.30%;18.17%;17.56%;-38.38%
2009;1.81%;8.56%;-6.59%;22.91%;8.92%;-1.73%;-1.17%;19.25%;0.73%;3.69%;-4.29%;9.63%;75.44%
2010;-22.73%;-0.78%;1.58%;-1.83%;-4.48%;3.73%;1.20%;-2.21%;4.89%;0.58%;4.98%;4.74%;-13.03%
2011;-4.70%;6.03%;-5.62%;6.19%;10.10%;-0.95%;5.69%;-4.28%;-3.86%;4.03%;4.26%;3.50%;20.60%
2012;15.84%;12.69%;-0.95%;4.46%;-3.31%;1.89%;16.41%;-4.29%;-4.20%;3.99%;-6.13%;-2.78%;34.82%
2013;10.77%;5.86%;-2.39%;-5.47%;-4.61%;-18.52%;0.53%;-20.56%;22.53%;3.37%;5.61%;-2.64%;-12.54%
2014;-15.40%;6.82%;10.03%;-4.21%;11.09%;5.49%;-8.27%;8.21%;-22.27%;-8.97%;-13.54%;3.20%;-30.04%
2015;-33.20%;19.62%;-8.70%;-1.31%;-11.47%;-14.31%;-12.91%;-20.37%;31.05%;4.42%;25.95%;-5.20%;-38.11%
2016;-16.97%;14.45%;26.95%;14.97%;21.46%;16.17%;11.49%;0.71%;-0.94%;1.93%;3.09%;7.07%;144.92%
2017;18.25%;19.53%;-13.32%;-18.55%;-3.06%;15.54%;5.95%;1.72%;-0.01%;-7.94%;6.27%;6.09%;25.01%
2018;3.94%;-1.52%;10.50%;4.83%;-10.33%;-4.11%;-0.83%;2.95%;-6.00%;31.74%;-0.14%;20.11%;54.60%
2019;-3.12%;3.93%;0.46%;12.99%;-9.94%;8.16%;0.54%;2.91%;-1.36%;-0.74%;1.48%;-0.73%;13.61%
2020;-0.87%;-10.52%;-30.17%;17.36%;20.21%;1.50%;-6.32%;-12.74%;-0.83%;-8.41%;4.16%;10.36%;-24.29%
2021;-5.43%;-6.96%;7.45%;11.32%;4.40%;-10.96%;-10.52%;0.72%;1.77%;-1.38%;-5.80%;-0.86%;-17.35%
2022;3.46%;7.83%;-2.71%;-0.36%;-1.39%;-13.45%;4.17%;12.50%;-1.12%;16.36%;2.86%;-0.70%;27.14%
2023;-6.69%;-2.87%;17.92%;8.33%;17.02%;7.82%;-4.30%;-11.46%;-1.58%;-7.91%;17.25%;16.42%;53.10%
2024;4.35%;-3.28%;7.44%;-6.68%;2.91%;5.56%;5.17%;7.97%;-1.53%;0.04%;10.11%;-16.50%;13.05%
2025;7.49%;3.98%;-13.20%;8.56%;11.38%;18.99%;-7.54%;16.24%;0.00%;0.00%;0.00%;0.00%;50.00%
