;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.85%;4.55%;13.04%;20.37%
2008;-2.31%;22.05%;-20.97%;18.37%;14.48%;-13.25%;-13.54%;-19.68%;-40.30%;-57.29%;-39.22%;6.45%;-165.81%
2009;-3.03%;-8.13%;-23.81%;143.01%;-1.85%;6.42%;82.62%;0.97%;16.15%;0.99%;-5.25%;12.46%;158.17%
2010;21.85%;3.54%;-5.49%;2.59%;-25.32%;-1.36%;19.07%;-4.62%;13.46%;25.20%;0.11%;1.60%;51.11%
2011;-15.18%;-4.32%;9.03%;4.15%;-2.89%;-8.93%;-8.24%;9.69%;-23.12%;22.47%;-16.00%;-8.37%;-44.35%
2012;22.22%;9.68%;4.41%;-13.38%;-8.44%;9.38%;-3.52%;5.40%;7.53%;-20.17%;12.81%;5.75%;30.33%
2013;-7.06%;13.13%;0.70%;1.52%;-5.25%;-1.65%;-11.87%;-8.64%;8.70%;1.39%;-3.43%;3.91%;-6.42%
2014;-13.16%;-1.18%;1.59%;-7.54%;-11.42%;-9.54%;-4.56%;8.06%;-8.56%;-4.23%;6.28%;-15.38%;-56.38%
2015;6.72%;9.26%;-7.46%;0.73%;-18.18%;-4.44%;-3.26%;-12.50%;-3.85%;-14.29%;-0.00%;-12.67%;-51.78%
2016;7.63%;9.22%;32.47%;-10.29%;-18.03%;7.33%;42.86%;-10.87%;-17.07%;5.88%;-11.11%;-1.25%;34.72%
2017;10.76%;8.00%;-8.99%;-5.23%;-5.52%;-19.34%;-3.45%;-11.61%;25.25%;-10.48%;-11.71%;1.02%;-25.76%
2018;-1.01%;-23.47%;-33.33%;12.00%;-25.00%;-7.14%;-17.95%;6.25%;10.29%;58.40%;-0.17%;6.24%;-19.05%
2019;6.35%;4.03%;-24.68%;3.62%;-6.25%;2.94%;21.33%;-5.18%;-7.28%;-18.04%;-16.78%;54.45%;9.24%
2020;-19.83%;-20.08%;-55.56%;42.86%;-8.33%;6.82%;-2.98%;-25.00%;1.75%;-16.09%;28.08%;17.65%;-54.49%
2021;-6.82%;-8.78%;-7.49%;13.87%;-12.18%;55.49%;-16.36%;-4.44%;-23.26%;-16.36%;-23.19%;3.77%;-24.36%
2022;3.69%;-12.33%;8.00%;-14.81%;-13.04%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-26.45%
