;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2007;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;1.85%;4.55%;13.04%;20.37%
2008;-2.31%;22.05%;-20.97%;18.37%;14.48%;-13.25%;-13.54%;-19.68%;-40.30%;-57.29%;-39.22%;6.45%;-87.31%
2009;-3.03%;-8.12%;-23.81%;143.46%;-1.85%;6.42%;82.62%;0.97%;16.15%;0.99%;-5.25%;12.46%;297.84%
2010;21.85%;3.54%;-5.49%;2.74%;-25.32%;-1.36%;19.07%;-4.62%;13.46%;25.20%;0.11%;1.60%;48.08%
2011;-15.18%;-4.32%;9.03%;4.56%;-2.89%;-8.93%;-8.24%;9.69%;-23.12%;22.47%;-16.00%;-8.37%;-40.32%
2012;22.22%;9.68%;4.41%;-12.63%;-8.44%;9.38%;-3.52%;5.40%;7.53%;-20.17%;12.81%;5.75%;27.54%
2013;-7.06%;13.13%;0.70%;2.38%;-5.25%;-1.65%;-11.87%;-8.64%;8.70%;1.39%;-3.43%;3.91%;-10.05%
2014;-13.16%;-1.18%;1.59%;-5.90%;-11.42%;-9.54%;-4.56%;8.06%;-8.56%;-4.23%;9.43%;-15.38%;-45.02%
2015;6.72%;9.26%;-7.46%;0.73%;-18.18%;-4.44%;-3.26%;-12.50%;-3.85%;-14.29%;-0.00%;-12.67%;-48.22%
2016;7.63%;9.22%;32.47%;-10.29%;-18.03%;7.33%;42.86%;-10.87%;-17.07%;5.88%;-11.11%;-1.25%;20.61%
2017;10.76%;8.00%;-8.99%;-5.23%;-5.52%;-19.34%;-3.45%;-11.61%;25.25%;-10.48%;-11.71%;1.02%;-32.90%
2018;-1.01%;-23.47%;-33.33%;12.00%;-25.00%;-7.14%;-17.95%;6.25%;10.29%;58.40%;-0.17%;6.24%;-36.36%
2019;6.35%;4.03%;-24.68%;3.62%;-6.25%;2.94%;21.33%;-5.18%;-7.28%;-18.04%;-16.78%;54.45%;-6.35%
2020;-19.83%;-20.08%;-55.56%;42.86%;-8.33%;6.82%;-2.98%;-25.00%;1.75%;-16.09%;28.08%;17.65%;-62.71%
2021;-6.82%;-8.78%;-7.49%;13.87%;-12.18%;55.49%;-16.36%;-4.44%;-23.26%;-16.36%;-23.19%;3.77%;-50.00%
2022;27.27%;-12.33%;8.00%;-14.81%;-26.09%;-19.12%;-10.91%;4.08%;-11.76%;-4.44%;-30.23%;3.33%;-65.41%
2023;-33.29%;-50.19%;-21.55%;1.49%;-0.00%;56.34%;20.12%;-20.65%;-7.04%;-13.20%;8.72%;-3.73%;-66.71%
2024;-2.52%;-5.96%;-3.59%;-7.68%;-1.90%;1.69%;-2.38%;-0.24%;-1.96%;12.47%;-12.64%;-1.78%;-25.00%
2025;1.81%;-2.28%;-0.78%;-1.05%;-1.06%;1.87%;0.26%;-10.99%;0.29%;2.35%;-4.58%;-10.21%;-22.74%
2026;-4.68%;1.75%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-3.01%
