papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
AALR3;ON NM;ALLIAR ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;3.55;28/05/2026;2.56;6.76;188261.0;540874000.0;904074000.0;30/09/2025;152359000;143.0;-672.0;-53.0;51.0;700.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3027410000.0;123751000.0;811048000.0;486951000.0;363200000.0;1066930000.0;-80486000.0;7854000.0
ABCB4;PN N2;ABC Brasil PN N2;Intermediários Financeiros;24.46;28/05/2026;18.83;28.12;17688000.0;6374300000.0;0.0;31/03/2026;260601000;-20.0;633.0;386.0;89.0;2743.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;67081600000.0;0.0;0.0;0.0;0.0;7147590000.0;1006640000.0;230210000.0
ABEV3;ON;AMBEV S/A ON;Bebidas;16.29;28/05/2026;11.13;16.95;439591000.0;256790000000.0;240255000000.0;31/03/2026;15763700000;-193.0;1648.0;99.0;285.0;572.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;143.0;0.0;0.0;53.0;0.0;0.0;0.0;0.0;0.0;142761000000.0;19640600000.0;42833300000.0;3105730000.0;-16534900000.0;90125800000.0;15577700000.0;3768260000.0
ADHM3;ON;ADVANCED-DH ON;;1.56;28/12/2020;1.07;3.24;2064.0;25440500.0;25440500.0;30/09/2019;16308000;0.0;-409.0;-38.0;-129.0;-121.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-18475.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;242000.0;0.0;23000.0;0.0;0.0;-19776000.0;-6224000.0;-2492000.0
ADMF3;ON NM;CIABRASF ON NM;Holdings Diversificadas;20.0;01/04/2026;10.0;128.99;98.0;116680000.0;116634000.0;31/03/2026;5834000;0.0;-25.0;-8053.0;-2143.0;-93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-4271.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4441000.0;46000.0;4441000.0;0.0;-46000.0;-5444000.0;-469787000.0;-4716000.0
AERI3;ON NM;AERIS ON NM;Máquinas e Equipamentos;2.32;28/05/2026;2.28;4.5;152656.0;144119000.0;2006540000.0;31/03/2026;62120200;-43.0;-15.0;-1521.0;-17.0;-1347.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-294.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1515040000.0;18815000.0;407620000.0;1881240000.0;1862420000.0;-836456000.0;-944670000.0;-138001000.0
AFLT3;ON;AFLUENTE T ON;Energia Elétrica;7.24;26/05/2026;6.42;7.75;2867.0;456735000.0;437883000.0;31/03/2026;63085000;0.0;1390.0;52.0;175.0;413.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;127.0;0.0;0.0;52.0;0.0;0.0;0.0;0.0;0.0;366433000.0;45122000.0;127656000.0;26270000.0;-18852000.0;260421000.0;32858000.0;12974000.0
AGRO3;ON NM;BRASILAGRO ON NM;Agropecuária;18.8;28/05/2026;18.59;22.48;4487200.0;1930450000.0;3280280000.0;31/03/2026;102683000;-27.0;-13056.0;-14.0;95.0;1988.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0;3821220000.0;94033000.0;1200320000.0;1443870000.0;1349840000.0;2041050000.0;-14786000.0;-14302000.0
AGXY3;ON NM;AGROGALAXY ON NM;Agropecuária;1.85;28/05/2026;1.85;6.58;54031.0;35093700.0;982297000.0;30/09/2025;18969600;0.0;3.0;6468.0;-19.0;-978.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-327.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2215350000.0;57512000.0;917238000.0;1004720000.0;947203000.0;-185458000.0;1226880000.0;-639118000.0
AHEB3;ON;PARQUE ANHEMBI ON;Viagens e Lazer;23.9;19/05/2026;21.5;43.0;2660.0;204202000.0;121686000.0;31/03/2026;8544000;0.0;412.0;580.0;70.0;3423.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;598698000.0;84996000.0;257755000.0;2480000.0;-82516000.0;292484000.0;49540000.0;8404000.0
ALLD3;ON NM;ALLIED ON NM;Comércio;5.87;28/05/2026;4.94;8.24;2885850.0;563294000.0;698034000.0;31/03/2026;95961500;-17.0;165.0;357.0;37.0;1602.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;514.0;0.0;0.0;0.0;0.0;0.0;3390300000.0;290420000.0;2446600000.0;425160000.0;134740000.0;1537550000.0;342338000.0;24687000.0
ALOS3;ON;ALLOS ON;Exploração de Imóveis;28.63;28/05/2026;19.43;33.15;163282000.0;14435000000.0;12279300000.0;31/03/2026;504191000;28.0;1744.0;164.0;111.0;2571.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.0;0.0;90.0;0.0;0.0;0.0;0.0;0.0;24860200000.0;2155690000.0;2933950000.0;0.0;-2155690000.0;12964600000.0;827798000.0;248302000.0
ALPA3;ON N1;ALPARGATAS ON N1;Tecidos, Vestuário e Calçados;10.28;28/05/2026;6.22;13.33;456372.0;7021880000.0;7501620000.0;31/03/2026;683062000;-68.0;1134.0;91.0;203.0;506.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.0;0.0;0.0;170.0;0.0;0.0;0.0;0.0;0.0;6287100000.0;794729000.0;3021730000.0;1274470000.0;479745000.0;3458800000.0;619256000.0;162809000.0
ALPA4;PN N1;ALPARGATAS PN N1;Tecidos, Vestuário e Calçados;12.61;28/05/2026;7.18;16.06;26727400.0;8613410000.0;9093160000.0;31/03/2026;683062000;-32.0;1391.0;91.0;249.0;506.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.0;0.0;0.0;142.0;0.0;0.0;0.0;0.0;0.0;6287100000.0;794729000.0;3021730000.0;1274470000.0;479745000.0;3458800000.0;619256000.0;162809000.0
ALPK3;ON NM;ESTAPAR ON NM;Serviços Diversos;4.55;28/05/2026;2.8;5.39;632687.0;997841000.0;2255400000.0;31/03/2026;219306000;202.0;7373.0;6.0;276.0;165.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2596930000.0;261921000.0;518545000.0;1519480000.0;1257560000.0;361758000.0;13533000.0;1788000.0
ALUP11;UNT N2;ALUPAR UNT N2;Energia Elétrica;32.81;28/05/2026;28.11;36.54;32230700.0;10815100000.0;20140500000.0;31/03/2026;988881000;-58.0;970.0;338.0;116.0;2817.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;34341800000.0;5246160000.0;8297840000.0;14571600000.0;9325490000.0;9286800000.0;1114850000.0;198067000.0
ALUP3;ON N2;ALUPAR ON N2;Energia Elétrica;12.2;28/05/2026;9.96;13.91;63520.0;12064300000.0;21389800000.0;31/03/2026;988881000;83.0;1082.0;113.0;130.0;939.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;34341800000.0;5246160000.0;8297840000.0;14571600000.0;9325490000.0;9286800000.0;1114850000.0;198067000.0
ALUP4;PN N2;ALUPAR PN N2;Energia Elétrica;10.33;28/05/2026;9.02;11.46;177073.0;10215100000.0;19540600000.0;31/03/2026;988881000;10.0;916.0;113.0;110.0;939.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;35.0;0.0;0.0;0.0;0.0;0.0;34341800000.0;5246160000.0;8297840000.0;14571600000.0;9325490000.0;9286800000.0;1114850000.0;198067000.0
AMAR3;ON NM;LOJAS MARISA ON NM;Comércio;0.65;28/05/2026;0.65;1.48;140114.0;333785000.0;1141710000.0;31/03/2026;513516000;-152.0;-211.0;-31.0;259.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2038200000.0;10626000.0;572272000.0;818551000.0;807925000.0;128818000.0;-158161000.0;-95815000.0
AMBP3;ON NM;AMBIPAR ON NM;Água e Saneamento;0.17;28/05/2026;0.17;19.57;1018280.0;283971000.0;6640380000.0;30/06/2025;1670420000;0.0;-111.0;-15.0;26.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16918400000.0;4684890000.0;7328510000.0;11041300000.0;6356410000.0;1093330000.0;-256625000.0;-171760000.0
AMER3;ON;AMERICANAS ON;Comércio;5.17;28/05/2026;4.65;8.07;18888600.0;1035270000.0;2554270000.0;31/03/2026;200245000;-58.0;-995.0;-52.0;23.0;2212.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-44.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16167000000.0;550000000.0;7757000000.0;2069000000.0;1519000000.0;4430000000.0;-104000000.0;-329000000.0
AMOB3;ON NM;AUTOMOB ON NM;Automóveis e Motocicletas;14.05;28/05/2026;10.3;15.01;662769.0;532298000.0;3047550000.0;31/03/2026;37886000;-50.0;-173.0;-810.0;27.0;5179.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8435990000.0;488194000.0;4721900000.0;3003450000.0;2515260000.0;1962210000.0;-307011000.0;-56750000.0
ANIM3;ON NM;ANIMA ON NM;Diversos;3.31;28/05/2026;2.88;5.17;26707900.0;1336810000.0;5479650000.0;31/03/2026;403869000;-60.0;996.0;33.0;56.0;592.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.0;0.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;10556000000.0;1732160000.0;2713580000.0;5875010000.0;4142850000.0;2388890000.0;134244000.0;106213000.0
ARML3;ON NM;ARMAC ON NM;Diversos;3.76;28/05/2026;2.61;6.17;6293050.0;1302820000.0;3463000000.0;31/03/2026;346494000;0.0;2575.0;15.0;102.0;369.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.0;0.0;0.0;146.0;0.0;0.0;0.0;0.0;0.0;5628600000.0;1033850000.0;2010420000.0;3194030000.0;2160190000.0;1277800000.0;50588000.0;-3338000.0
ARND3;ON NM;ARANDU ON NM;Programas e Serviços;0.66;28/05/2026;0.61;4.1;1020.0;93054600.0;90775600.0;30/09/2025;140992000;-435.0;-21.0;-311.0;79.0;83.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;293011000.0;100441000.0;182125000.0;98162000.0;-2279000.0;117149000.0;-438550000.0;-48598000.0
ASAI3;ON NM;ASSAI ON NM;Comércio e Distribuição;8.98;28/05/2026;7.02;11.73;125633000.0;12154700000.0;24162700000.0;31/03/2026;1353530000;-292.0;1736.0;52.0;206.0;435.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;47199000000.0;4366000000.0;17408000000.0;16374000000.0;12008000000.0;5887000000.0;700000000.0;320000000.0
ATED3;ON;ATOM EDUC ON;Diversos;2.21;28/05/2026;1.78;2.51;19330.0;52609000.0;51156000.0;31/03/2026;23805000;45.0;-1057.0;-21.0;324.0;68.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21127000.0;2696000.0;8793000.0;1243000.0;-1453000.0;16248000.0;-4975000.0;-1901000.0
