Date;Close;High;Low;Open;Volume
2025-03-17;41841.62890625;42013.1015625;41412.75;41460.21875;564190000
2025-03-18;41581.30859375;41787.25;41415.4296875;41772.91015625;569810000
2025-03-19;41964.62890625;42178.41015625;41613.19140625;41613.19140625;577530000
2025-03-20;41953.3203125;42250.2890625;41695.609375;41795.26171875;545240000
2025-03-21;41985.3515625;42011.3984375;41433.859375;41763.3984375;1026600000
2025-03-24;42583.3203125;42638.8515625;42180.140625;42180.140625;548840000
2025-03-25;42587.5;42696.609375;42441.828125;42635.5390625;452200000
2025-03-26;42454.7890625;42821.828125;42326.671875;42655.8515625;592650000
2025-03-27;42299.69921875;42523.83984375;42142.19140625;42432.9609375;484540000
2025-03-28;41583.8984375;42258.1484375;41530.0;42245.8203125;532360000
2025-03-31;42001.76171875;42147.37890625;41148.12890625;41382.51953125;732220000
2025-04-01;41989.9609375;42140.66015625;41519.8984375;41879.75;514610000
2025-04-02;42225.3203125;42382.26953125;41629.69921875;41736.078125;492050000
2025-04-03;40545.9296875;41173.62109375;40513.109375;40986.51953125;941940000
2025-04-04;38314.859375;40097.8984375;38264.87109375;40097.8984375;1290100000
2025-04-07;37965.6015625;39207.01953125;36611.78125;37879.6484375;1363960000
2025-04-08;37645.58984375;39426.6015625;37103.859375;38827.1015625;1051220000
2025-04-09;40608.44921875;40778.69921875;37275.69140625;37387.91015625;1412960000
2025-04-10;39593.66015625;39996.9296875;38427.69921875;39996.9296875;1023490000
2025-04-11;40212.7109375;40404.26953125;39255.2109375;39493.421875;742800000
2025-04-14;40524.7890625;40778.2890625;40159.01953125;40546.1484375;667010000
2025-04-15;40368.9609375;40791.1796875;40346.94140625;40527.8203125;529800000
2025-04-16;39669.390625;40416.80078125;39394.75;40179.48828125;737550000
2025-04-17;39142.23046875;39745.578125;38950.30859375;39745.578125;657400000
2025-04-21;38170.41015625;38906.0390625;37830.66015625;38906.0390625;604790000
2025-04-22;39186.98046875;39272.03125;38516.23046875;38516.23046875;582330000
2025-04-23;39606.5703125;40376.109375;39487.140625;39815.01171875;642550000
2025-04-24;40093.3984375;40157.91015625;39371.87109375;39531.05078125;558120000
2025-04-25;40113.5;40137.30859375;39718.6796875;40045.73046875;559040000
2025-04-28;40227.58984375;40414.1796875;39869.1015625;40171.73828125;475930000
2025-04-29;40527.62109375;40630.48828125;40222.1796875;40233.98046875;434830000
2025-04-30;40669.359375;40777.16015625;39745.62890625;40290.41015625;599760000
2025-05-01;40752.9609375;41099.51953125;40705.62890625;40918.0390625;597270000
2025-05-02;41317.4296875;41386.19140625;40960.421875;40960.421875;589870000
2025-05-05;41218.828125;41445.91015625;41063.44140625;41173.37890625;413440000
2025-05-06;40829.0;41164.328125;40759.41015625;41000.19140625;416110000
2025-05-07;41113.96875;41266.91015625;40829.2890625;40956.078125;533870000
2025-05-08;41368.44921875;41773.21875;41167.76171875;41312.5703125;514850000
2025-05-09;41249.37890625;41512.4296875;41150.73046875;41405.48046875;373930000
2025-05-12;42410.1015625;42418.05078125;41899.05078125;41899.05078125;653810000
2025-05-13;42140.4296875;42507.328125;42132.0390625;42507.328125;729860000
2025-05-14;42051.05859375;42254.75;41952.859375;42150.08984375;660230000
2025-05-15;42322.75;42351.421875;41777.98046875;41777.98046875;736430000
2025-05-16;42654.73828125;42663.6796875;42232.55859375;42356.19921875;621250000
2025-05-19;42792.0703125;42842.0390625;42337.7109375;42542.80859375;536830000
2025-05-20;42677.23828125;42800.0390625;42485.37109375;42735.109375;441530000
2025-05-21;41860.44140625;42439.26953125;41785.21875;42354.4609375;607900000
2025-05-22;41859.08984375;42090.421875;41714.4296875;41763.6796875;476080000
2025-05-23;41603.0703125;41788.609375;41354.08984375;41525.69921875;497060000
2025-05-27;42343.6484375;42350.66015625;41849.0390625;41849.0390625;501340000
2025-05-28;42098.69921875;42448.71875;42042.26171875;42361.62890625;518840000
2025-05-29;42215.73046875;42266.0;41828.3515625;42190.01953125;665310000
2025-05-30;42270.0703125;42376.078125;41906.16015625;42192.3515625;796200000
2025-06-02;42305.48046875;42317.0;41853.62109375;42199.94140625;454680000
2025-06-03;42519.640625;42568.37890625;42186.44140625;42304.5;504410000
2025-06-04;42427.73828125;42645.0;42427.73828125;42574.12890625;409600000
2025-06-05;42319.73828125;42601.44921875;42211.69140625;42487.890625;532850000
2025-06-06;42762.87109375;42924.55859375;42582.55078125;42631.8203125;414540000
2025-06-09;42761.76171875;42893.08984375;42567.55078125;42786.19140625;485780000
2025-06-10;42866.87109375;42925.94140625;42710.08984375;42738.26953125;446850000
2025-06-11;42865.76953125;43115.69140625;42738.62109375;42882.859375;467260000
2025-06-12;42967.62109375;42970.3984375;42606.421875;42737.359375;455760000
2025-06-13;42197.7890625;42602.48046875;42081.08984375;42579.48046875;485930000
2025-06-16;42515.08984375;42707.73046875;42300.12890625;42300.12890625;467040000
2025-06-17;42215.80078125;42530.828125;42132.6484375;42358.62109375;423070000
2025-06-18;42171.66015625;42510.0703125;42118.23046875;42236.03125;485440000
2025-06-20;42206.8203125;42432.19140625;42089.98828125;42291.08984375;859840000
2025-06-23;42581.78125;42609.46875;41981.140625;42178.55078125;496750000
2025-06-24;43089.01953125;43183.48046875;42794.078125;42807.12890625;516060000
2025-06-25;42982.4296875;43130.328125;42871.5;43130.328125;527460000
2025-06-26;43386.83984375;43430.98828125;43084.0703125;43084.0703125;536710000
2025-06-27;43819.26953125;43966.37109375;43505.6015625;43505.6015625;921330000
2025-06-30;44094.76953125;44138.69140625;43889.16015625;44020.66015625;623630000
2025-07-01;44494.94140625;44604.1484375;44013.5390625;44061.48828125;593600000
2025-07-02;44484.421875;44557.8203125;44354.01171875;44455.66015625;499870000
2025-07-03;44828.53125;44885.828125;44550.421875;44565.75;346620000
2025-07-07;44406.359375;44803.359375;44160.3203125;44803.359375;442350000
2025-07-08;44240.76171875;44436.9609375;44201.37109375;44378.578125;445670000
2025-07-09;44458.30078125;44556.6796875;44225.87890625;44327.12890625;531790000
2025-07-10;44650.640625;44775.46875;44372.921875;44427.75;452340000
